time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
21:06:05:873,0.0172,-0.0463,-0.0202,0.053
21:06:05:878,0.0152,-0.0483,-0.0628,0.081
21:06:05:879,0.0320,-0.0219,-0.0717,0.082
21:06:05:888,0.0487,-0.0217,-0.0688,0.087
21:06:05:889,0.0794,0.0235,-0.0373,0.091
21:06:05:894,0.0957,0.0612,-0.0106,0.114
21:06:05:898,0.0048,0.0296,0.0140,0.033
21:06:05:906,-0.1213,-0.0184,0.1479,0.192
21:06:05:908,-0.0137,0.0099,0.0983,0.100
21:06:05:914,0.0433,0.0070,0.0944,0.104
21:06:05:918,0.0481,0.0040,0.1190,0.128
21:06:05:925,0.0247,0.0177,0.1292,0.133
21:06:05:929,0.0016,0.0193,0.0469,0.051
21:06:05:937,0.0167,0.0090,-0.0181,0.026
21:06:05:937,0.0172,-0.0012,-0.0588,0.061
21:06:05:943,-0.0037,-0.0184,-0.0945,0.096
21:06:05:948,0.0679,-0.0330,-0.1370,0.156
21:06:05:953,0.0794,-0.0213,-0.1367,0.160
21:06:05:957,0.0955,-0.0334,-0.1129,0.152
21:06:05:963,0.1137,-0.0453,-0.0895,0.152
21:06:05:967,0.1176,-0.0404,-0.0830,0.150
21:06:05:974,0.1332,-0.0237,-0.0934,0.164
21:06:05:975,0.0703,-0.0165,-0.0849,0.112
21:06:05:982,0.0696,-0.0568,-0.0578,0.107
21:06:05:987,0.0381,-0.0468,-0.0287,0.067
21:06:05:991,0.0115,-0.0559,0.0118,0.058
21:06:05:997,0.0018,-0.0483,0.0688,0.084
21:06:06:002,0.0062,-0.0099,0.0922,0.093
21:06:06:007,0.0295,0.0162,0.0849,0.091
21:06:06:011,0.0431,-0.0079,0.0802,0.091
21:06:06:016,0.0518,-0.0127,0.0733,0.091
21:06:06:023,0.0652,-0.0247,0.0475,0.084
21:06:06:026,0.0380,-0.0531,0.0029,0.065
21:06:06:031,0.0466,-0.0836,-0.0558,0.111
21:06:06:037,0.0526,-0.0829,-0.0880,0.132
21:06:06:042,0.0347,-0.0727,-0.1060,0.133
21:06:06:046,0.0335,-0.0744,-0.1288,0.152
21:06:06:056,0.0182,-0.0925,-0.1091,0.144
21:06:06:057,0.0172,-0.0511,-0.0329,0.063
21:06:06:060,0.0092,-0.0171,0.0164,0.025
21:06:06:065,0.0394,0.0166,0.0581,0.072
21:06:06:070,0.0103,0.0429,0.0852,0.096
21:06:06:075,0.0053,0.0357,0.1146,0.120
21:06:06:080,-0.0089,0.0190,0.1485,0.150
21:06:06:084,-0.0135,0.0451,0.1467,0.154
21:06:06:088,-0.0014,0.0709,0.1403,0.157
21:06:06:095,0.0295,0.1060,0.1104,0.156
21:06:06:098,0.0603,0.1218,0.0643,0.150
21:06:06:105,0.0695,0.0994,0.0116,0.122
21:06:06:109,0.0409,0.0345,-0.0408,0.067
21:06:06:114,0.0315,0.0105,-0.0621,0.070
21:06:06:119,0.0104,-0.0417,-0.0548,0.070
21:06:06:124,0.0225,-0.0745,-0.0666,0.102
21:06:06:129,0.0153,-0.0928,-0.0498,0.106
21:06:06:138,-0.0038,-0.1180,-0.0165,0.119
21:06:06:138,-0.0252,-0.0836,0.0093,0.088
21:06:06:143,-0.0251,-0.0828,0.0277,0.091
21:06:06:148,-0.0179,-0.0392,0.0365,0.056
21:06:06:153,-0.0203,-0.0031,0.0215,0.030
21:06:06:158,-0.0228,0.0018,0.0137,0.027
21:06:06:163,0.0104,-0.0336,0.0228,0.042
21:06:06:167,-0.0042,-0.0332,0.0197,0.039
21:06:06:172,0.0123,-0.0208,0.0001,0.024
21:06:06:176,-0.0071,-0.0086,-0.0217,0.024
21:06:06:183,-0.0050,0.0035,-0.0363,0.037
21:06:06:187,-0.0030,0.0322,-0.0436,0.054
21:06:06:192,0.0132,0.0487,-0.0484,0.070
21:06:06:197,0.0198,0.0485,-0.0342,0.063
21:06:06:202,0.0382,0.0602,-0.0154,0.073
21:06:06:207,0.0471,0.0670,0.0056,0.082
21:06:06:212,0.0418,0.0927,-0.0020,0.102
21:06:06:215,0.0249,0.0873,0.0189,0.093
21:06:06:221,0.0132,0.0488,0.0419,0.066
21:06:06:230,0.0112,0.0342,0.0623,0.072
21:06:06:231,-0.0072,0.0127,0.0777,0.079
21:06:06:236,-0.0348,-0.0181,0.0953,0.103
21:06:06:244,-0.0361,-0.0273,0.0915,0.102
21:06:06:246,-0.0373,-0.0104,0.0807,0.089
21:06:06:251,-0.0313,-0.0055,0.0628,0.070
21:06:06:256,0.0078,-0.0339,0.0429,0.055
21:06:06:262,0.0276,-0.0242,0.0304,0.048
21:06:06:266,0.0495,-0.0121,0.0061,0.051
21:06:06:271,0.0286,-0.0334,-0.0227,0.049
21:06:06:275,0.0078,-0.0402,-0.0371,0.055
21:06:06:281,0.0109,-0.0564,-0.0420,0.071
21:06:06:285,0.0022,-0.0701,-0.0446,0.083
21:06:06:290,-0.0183,-0.0623,0.0003,0.065
21:06:06:295,-0.0124,-0.0641,0.0187,0.068
21:06:06:299,-0.0115,-0.0707,0.0205,0.074
21:06:06:305,-0.0464,-0.0748,0.0271,0.092
21:06:06:310,-0.0456,-0.0765,0.0029,0.089
21:06:06:315,-0.0474,-0.0498,-0.0139,0.070
21:06:06:319,-0.0472,-0.0231,-0.0330,0.062
21:06:06:325,-0.0161,-0.0014,-0.0450,0.048
21:06:06:329,-0.0043,0.0249,-0.0404,0.048
21:06:06:338,0.0170,0.0368,-0.0100,0.042
21:06:06:338,0.0005,0.0699,0.0249,0.074
21:06:06:350,-0.0157,0.0980,0.0501,0.111
21:06:06:351,-0.0673,0.0902,0.0323,0.117
21:06:06:354,-0.0900,0.0564,0.0503,0.118
21:06:06:358,-0.0721,0.0560,0.0423,0.101
21:06:06:362,-0.0567,0.0366,0.0085,0.068
21:06:06:369,-0.0035,0.0457,0.0345,0.057
21:06:06:374,0.0282,0.0381,0.0509,0.070
21:06:06:377,0.0599,0.0519,0.0482,0.093
21:06:06:382,0.0915,0.0180,0.0243,0.096
21:06:06:388,0.0921,0.0271,-0.0111,0.097
21:06:06:393,0.0738,0.0218,-0.0816,0.112
21:06:06:398,0.0937,0.0212,-0.0802,0.125
21:06:06:403,0.1186,0.0490,-0.0621,0.143
21:06:06:407,0.0962,0.0647,-0.0346,0.121
21:06:06:413,0.1196,0.0613,0.0043,0.134
21:06:06:416,0.0794,0.0435,0.0192,0.093
21:06:06:422,0.0399,0.0355,0.0455,0.070
21:06:06:430,0.0438,0.0203,0.0789,0.092
21:06:06:432,0.0529,-0.0068,0.1264,0.137
21:06:06:445,0.0312,-0.0338,0.1218,0.130
21:06:06:446,0.0098,-0.0369,0.1153,0.121
21:06:06:447,-0.0090,-0.0497,0.1022,0.114
21:06:06:451,-0.0279,-0.0364,0.1326,0.140
21:06:06:455,-0.0540,-0.0377,0.1064,0.125
21:06:06:461,-0.0138,-0.0248,0.0433,0.052
21:06:06:466,-0.0572,-0.0407,-0.0138,0.072
21:06:06:471,-0.0579,-0.0495,-0.0532,0.093
21:06:06:477,-0.0445,-0.0513,-0.0704,0.098
