time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:50:07:403,-0.0975,-0.0581,-0.2162,0.244
20:50:07:403,-0.1095,-0.0908,-0.0836,0.165
20:50:07:405,-0.0836,-0.1066,0.0646,0.150
20:50:07:413,-0.0631,-0.1389,0.1883,0.242
20:50:07:415,-0.0456,-0.1424,0.1760,0.231
20:50:07:418,-0.0264,-0.1650,0.0835,0.187
20:50:07:430,-0.0056,-0.1968,-0.0105,0.197
20:50:07:431,0.0192,-0.1880,-0.1869,0.266
20:50:07:434,0.0718,-0.1649,-0.3171,0.364
20:50:07:439,0.1069,-0.1181,-0.3752,0.408
20:50:07:445,0.0986,-0.0551,-0.3475,0.365
20:50:07:448,0.1424,0.0264,-0.2868,0.321
20:50:07:453,0.1692,0.0882,-0.2218,0.293
20:50:07:457,0.1721,0.1329,-0.1572,0.268
20:50:07:465,0.1348,0.1415,-0.1094,0.224
20:50:07:468,0.1335,0.1215,-0.0951,0.204
20:50:07:473,0.1276,0.0779,-0.0546,0.159
20:50:07:478,0.0839,0.0513,-0.0571,0.114
20:50:07:483,0.0451,0.0129,-0.0236,0.052
20:50:07:488,-0.2668,-0.0702,0.3589,0.453
20:50:07:492,0.0099,-0.0032,0.0264,0.028
20:50:07:496,0.2278,0.0468,-0.2658,0.353
20:50:07:501,0.0787,-0.0010,-0.1241,0.147
20:50:07:509,0.0069,-0.0459,0.0350,0.058
20:50:07:512,0.0643,-0.0121,0.1098,0.128
20:50:07:518,0.0100,-0.0048,0.1863,0.187
20:50:07:522,-0.0389,0.0048,0.2103,0.214
20:50:07:529,-0.0279,0.0403,0.1511,0.159
20:50:07:532,0.0095,0.0708,0.0475,0.086
20:50:07:535,0.0468,0.0677,-0.0316,0.088
20:50:07:546,0.0509,0.0600,-0.0579,0.098
20:50:07:548,0.0385,0.0333,-0.0650,0.083
20:50:07:552,0.0428,-0.0098,-0.0554,0.071
20:50:07:556,0.0565,-0.0312,-0.0697,0.095
20:50:07:561,0.0749,-0.0548,-0.0624,0.112
20:50:07:566,0.0954,-0.0947,-0.0434,0.141
20:50:07:571,0.0729,-0.1035,-0.0341,0.131
20:50:07:575,0.0764,-0.1311,0.0130,0.152
20:50:07:579,0.0868,-0.1372,0.0312,0.165
20:50:07:586,0.0920,-0.1407,0.0658,0.181
20:50:07:591,0.0708,-0.1371,0.0906,0.179
20:50:07:595,0.1042,-0.0979,0.0439,0.150
20:50:07:600,0.0875,-0.0518,0.0190,0.103
20:50:07:605,0.0612,0.0199,0.0013,0.064
20:50:07:610,0.0446,0.0389,0.0337,0.068
20:50:07:615,0.0185,0.0695,0.0351,0.080
20:50:07:621,0.0045,0.0832,0.0749,0.112
20:50:07:624,0.0094,0.0706,0.0671,0.098
20:50:07:629,0.0355,0.0510,0.0407,0.074
20:50:07:638,0.0469,0.0078,0.0695,0.084
20:50:07:639,0.0579,-0.0233,0.0698,0.094
20:50:07:645,0.0640,-0.0494,0.0656,0.104
20:50:07:649,0.0747,-0.0467,0.0567,0.105
20:50:07:653,0.0662,-0.0370,0.0718,0.104
20:50:07:658,0.0839,-0.0013,0.0724,0.111
20:50:07:665,0.0943,-0.0014,0.0777,0.122
20:50:07:668,0.0641,-0.0562,0.1043,0.135
20:50:07:674,0.0366,-0.0369,0.1142,0.125
20:50:07:678,0.0470,-0.0509,0.1098,0.130
20:50:07:684,0.0381,-0.0317,0.0961,0.108
20:50:07:689,0.0313,-0.0387,0.0779,0.092
20:50:07:693,0.0479,-0.0053,0.0505,0.070
20:50:07:697,0.0405,0.0183,-0.0121,0.046
20:50:07:704,0.0211,0.0014,-0.0243,0.032
20:50:07:708,0.0445,0.0226,-0.0291,0.058
20:50:07:713,0.0440,0.0602,0.0089,0.075
20:50:07:717,0.0341,0.0500,0.0062,0.061
20:50:07:723,0.0054,0.0826,-0.0298,0.088
20:50:07:728,0.0247,0.1055,-0.0324,0.113
20:50:07:733,0.0015,0.0973,-0.0351,0.103
20:50:07:739,0.0025,0.0726,0.0166,0.075
20:50:07:741,-0.0007,0.0386,0.0820,0.091
20:50:07:747,-0.0154,0.0190,0.1445,0.147
20:50:07:752,0.0036,-0.0170,0.1779,0.179
20:50:07:757,-0.0034,-0.0313,0.1754,0.178
20:50:07:762,-0.0315,-0.0693,0.1704,0.187
20:50:07:767,-0.0284,-0.0975,0.1369,0.170
20:50:07:771,-0.0299,-0.0565,0.1390,0.153
20:50:07:776,-0.0384,-0.0515,0.1482,0.162
20:50:07:781,-0.0349,-0.0751,0.1906,0.208
20:50:07:786,-0.0219,-0.0177,0.2326,0.234
20:50:07:791,-0.0158,-0.0202,0.2339,0.235
20:50:07:796,-0.0262,-0.0109,0.2164,0.218
20:50:07:801,-0.0581,-0.0278,0.1685,0.180
20:50:07:806,-0.0732,-0.0469,0.1472,0.171
20:50:07:811,-0.0861,-0.0541,0.2025,0.227
20:50:07:815,-0.1656,-0.0541,0.3074,0.353
20:50:07:822,-0.2970,-0.0755,0.3693,0.480
20:50:07:826,-0.4303,-0.1158,0.3528,0.568
20:50:07:838,-0.2041,-0.0775,0.3700,0.430
20:50:07:839,-0.0271,-0.0657,0.0762,0.104
20:50:07:840,0.0205,-0.0587,0.1075,0.124
20:50:07:844,0.0083,-0.0778,0.1053,0.131
20:50:07:850,0.0056,-0.1110,-0.0537,0.123
20:50:07:855,0.0122,-0.1105,-0.1880,0.218
20:50:07:858,0.0116,-0.1432,-0.2482,0.287
20:50:07:865,0.0419,-0.1780,-0.2419,0.303
20:50:07:869,0.0888,-0.1910,-0.2407,0.320
20:50:07:874,0.1476,-0.1540,-0.2210,0.307
20:50:07:879,0.1422,-0.1458,-0.1899,0.278
20:50:07:885,0.0519,-0.1139,-0.1476,0.193
20:50:07:889,-0.0186,-0.0728,-0.0773,0.108
20:50:07:894,-0.0671,0.0060,-0.0361,0.076
20:50:07:898,-0.0889,0.0841,0.0214,0.124
20:50:07:905,-0.0512,0.1877,0.0165,0.195
20:50:07:908,-0.0208,0.2477,0.0116,0.249
20:50:07:913,0.0405,0.3215,0.0089,0.324
20:50:07:918,0.0421,0.3187,-0.0201,0.322
20:50:07:924,0.0603,0.3231,-0.0441,0.332
20:50:07:928,0.0643,0.3677,0.0631,0.379
20:50:07:935,0.0799,0.4473,0.1204,0.470
20:50:07:937,0.0692,0.4645,0.0900,0.478
20:50:07:942,0.2203,0.3866,-0.0418,0.447
20:50:07:948,0.3160,0.3115,-0.0868,0.452
20:50:07:953,0.1645,0.2038,-0.0340,0.264
20:50:07:957,0.1548,0.2179,0.1018,0.286
20:50:07:962,0.2429,0.2839,0.2969,0.477
20:50:07:967,0.2693,0.2992,0.4036,0.570
20:50:07:972,0.1152,0.2620,0.3870,0.481
20:50:07:976,-0.0282,0.1894,0.3237,0.376
20:50:07:980,-0.0900,0.1434,0.3162,0.359
20:50:07:987,-0.1134,0.1143,0.3165,0.355
20:50:07:993,-0.1817,0.0640,0.3148,0.369
20:50:07:998,-0.2381,0.0592,0.3015,0.389
20:50:08:001,-0.2660,0.0213,0.2504,0.366
20:50:08:007,-0.2373,-0.0091,0.2163,0.321
20:50:08:011,-0.2354,-0.0155,0.1607,0.285
20:50:08:017,-0.2437,-0.0904,0.1002,0.279
20:50:08:024,-0.1961,-0.1573,0.0515,0.257
20:50:08:026,-0.1758,-0.2354,0.0452,0.297
20:50:08:042,-0.1281,-0.2865,0.0549,0.319
20:50:08:043,-0.0648,-0.3299,0.0925,0.349
20:50:08:043,0.0094,-0.3420,0.0888,0.353
20:50:08:046,0.0802,-0.3277,0.0562,0.342
20:50:08:050,0.1549,-0.3110,0.0397,0.350
20:50:08:055,0.2219,-0.2849,0.0038,0.361
20:50:08:059,0.3123,-0.2375,-0.0113,0.392
20:50:08:063,0.3737,-0.2188,-0.0340,0.434
20:50:08:070,0.3944,-0.1813,-0.0406,0.436
20:50:08:075,0.4128,-0.1463,-0.0574,0.442
20:50:08:080,0.4291,-0.0640,-0.0630,0.438
20:50:08:085,0.4217,-0.0321,-0.0552,0.427
20:50:08:089,0.3865,-0.0288,-0.0126,0.388
20:50:08:097,0.2948,-0.0088,0.0124,0.295
20:50:08:098,0.2396,-0.0198,0.0438,0.244
20:50:08:105,0.1682,-0.0259,0.0221,0.172
20:50:08:109,0.0876,-0.0127,0.0048,0.089
20:50:08:114,0.0286,-0.0328,-0.0294,0.053
20:50:08:119,-0.0378,-0.0597,-0.0375,0.080
20:50:08:125,-0.0807,-0.0768,-0.0149,0.112
20:50:08:128,-0.1050,-0.1008,0.0100,0.146
20:50:08:142,-0.1227,-0.1008,0.0421,0.164
20:50:08:143,-0.1100,-0.1270,0.0578,0.178
20:50:08:144,-0.0885,-0.1506,0.0666,0.187
20:50:08:148,-0.0987,-0.1503,0.0782,0.196
20:50:08:153,-0.1044,-0.1192,0.0614,0.170
20:50:08:158,-0.1037,-0.0930,0.0115,0.140
20:50:08:163,-0.1011,-0.0266,-0.0616,0.121
20:50:08:168,-0.1110,0.0180,-0.1011,0.151
20:50:08:173,-0.0976,0.0457,-0.0644,0.126
20:50:08:176,-0.0821,0.0304,-0.0542,0.103
20:50:08:182,-0.0764,0.0106,-0.0725,0.106
20:50:08:188,-0.0585,0.0146,-0.0904,0.109
20:50:08:192,-0.0806,0.0184,-0.1056,0.134
20:50:08:197,-0.0733,0.0601,-0.1488,0.176
20:50:08:202,-0.1197,0.0562,-0.1841,0.227
20:50:08:207,-0.1815,0.0711,-0.1975,0.278
20:50:08:213,-0.2634,0.1120,-0.2081,0.354
20:50:08:215,-0.2702,0.1238,-0.1996,0.358
20:50:08:220,-0.3257,0.1236,-0.1649,0.385
20:50:08:227,-0.3487,0.0925,-0.1188,0.380
20:50:08:234,-0.3682,0.0972,-0.0737,0.388
20:50:08:237,-0.3509,0.0545,-0.0508,0.359
20:50:08:248,-0.3261,0.0240,-0.0337,0.329
20:50:08:249,-0.2914,0.0011,-0.0293,0.293
20:50:08:251,-0.2705,-0.0169,-0.0186,0.272
20:50:08:256,-0.2231,-0.0750,0.0366,0.238
20:50:08:259,-0.1873,-0.1137,0.1101,0.245
20:50:08:265,-0.1606,-0.1521,0.1926,0.293
20:50:08:273,-0.1524,-0.1998,0.2416,0.349
20:50:08:275,-0.1175,-0.1951,0.2527,0.340
20:50:08:280,-0.1131,-0.1787,0.2289,0.312
20:50:08:285,-0.0962,-0.1272,0.1752,0.237
20:50:08:290,-0.0978,-0.0857,0.1155,0.174
20:50:08:295,-0.2013,-0.0517,0.0470,0.213
20:50:08:298,-0.2875,0.0271,-0.0635,0.296
20:50:08:307,-0.3523,0.0649,-0.1683,0.396
20:50:08:309,-0.4080,0.1120,-0.2391,0.486
20:50:08:315,-0.4337,0.1090,-0.3045,0.541
20:50:08:319,-0.4154,0.1133,-0.3075,0.529
20:50:08:329,-0.3392,0.1009,-0.2889,0.457
20:50:08:330,-0.2478,0.0625,-0.2413,0.351
20:50:08:335,-0.1720,0.0243,-0.1624,0.238
20:50:08:347,-0.0877,-0.0304,-0.0924,0.131
20:50:08:348,0.0434,-0.0399,-0.0334,0.068
20:50:08:349,0.1783,-0.0259,-0.0136,0.181
20:50:08:353,0.2674,-0.0290,-0.0423,0.272
20:50:08:358,0.3278,-0.0465,-0.0577,0.336
20:50:08:364,0.3335,-0.0689,-0.0981,0.354
20:50:08:368,0.3136,-0.0842,-0.1328,0.351
20:50:08:375,0.2634,-0.1089,-0.1742,0.334
20:50:08:377,0.2401,-0.1262,-0.2035,0.339
20:50:08:383,0.1604,-0.1434,-0.2354,0.319
20:50:08:389,0.1288,-0.1081,-0.2439,0.296
20:50:08:393,0.0999,-0.1156,-0.2505,0.293
20:50:08:398,0.0377,-0.0827,-0.2481,0.264
20:50:08:403,-0.0197,-0.0594,-0.2295,0.238
20:50:08:408,-0.0346,-0.0338,-0.1825,0.189
20:50:08:412,-0.0858,0.0413,-0.1212,0.154
20:50:08:416,-0.1568,0.1704,-0.0929,0.250
20:50:08:426,-0.1455,0.2651,-0.0613,0.309
20:50:08:427,-0.1379,0.3588,-0.0879,0.394
20:50:08:445,-0.0719,0.4231,-0.1911,0.470
20:50:08:446,0.0045,0.4298,-0.2779,0.512
20:50:08:447,0.0962,0.4551,-0.3245,0.567
20:50:08:448,0.1394,0.4587,-0.3172,0.575
20:50:08:451,0.2347,0.4241,-0.3085,0.575
20:50:08:457,0.3418,0.3634,-0.2988,0.582
20:50:08:460,0.3803,0.3054,-0.3237,0.585
20:50:08:466,0.4244,0.2073,-0.3547,0.591
20:50:08:471,0.4078,0.1098,-0.3613,0.556
20:50:08:476,0.3688,0.0202,-0.3537,0.511
20:50:08:481,0.3309,-0.0543,-0.3610,0.493
20:50:08:486,0.3105,-0.0592,-0.3360,0.461
