time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:57:02:417,0.0250,-0.0201,-0.7812,0.782
20:57:02:417,0.1307,-0.0432,-0.9983,1.008
20:57:02:420,0.1248,-0.0552,-1.0415,1.050
20:57:02:428,0.0696,-0.0210,-0.8646,0.868
20:57:02:429,0.0270,0.0255,-0.5571,0.558
20:57:02:435,0.0299,0.0553,-0.1908,0.201
20:57:02:439,0.0279,0.0397,0.1130,0.123
20:57:02:444,0.0304,0.0072,0.3550,0.356
20:57:02:449,0.0016,-0.0233,0.5029,0.503
20:57:02:454,-0.0369,-0.0567,0.5504,0.555
20:57:02:458,-0.0540,-0.0619,0.4581,0.465
20:57:02:465,-0.0284,-0.0794,0.2555,0.269
20:57:02:469,-0.0481,-0.0707,0.0264,0.090
20:57:02:474,-0.0153,-0.0502,-0.1390,0.149
20:57:02:478,0.0341,-0.0438,-0.2580,0.264
20:57:02:486,0.0430,-0.0277,-0.2835,0.288
20:57:02:488,0.0710,-0.0351,-0.2354,0.248
20:57:02:492,0.0679,0.0004,-0.1357,0.152
20:57:02:497,0.0672,-0.0024,-0.0299,0.074
20:57:02:504,0.0544,0.0162,0.0511,0.076
20:57:02:508,0.0345,0.0202,0.0888,0.097
20:57:02:513,0.0123,-0.0116,0.0763,0.078
20:57:02:518,0.0520,-0.0075,0.0475,0.071
20:57:02:523,0.0274,-0.0130,-0.0238,0.039
20:57:02:528,0.0291,-0.0159,-0.0660,0.074
20:57:02:532,0.0094,-0.0094,-0.0865,0.088
20:57:02:536,0.0137,0.0281,-0.0688,0.076
20:57:02:541,0.0229,0.0272,-0.0417,0.055
20:57:02:547,-0.0108,0.0074,0.0020,0.013
20:57:02:552,-0.0348,0.0231,0.0217,0.047
20:57:02:557,-0.0444,0.0221,0.0507,0.071
20:57:02:561,-0.0231,0.0258,0.0367,0.050
20:57:02:570,0.0004,0.0105,0.0395,0.041
20:57:02:571,0.0119,0.0048,0.0043,0.014
20:57:02:577,0.0020,-0.0054,-0.0188,0.020
20:57:02:581,0.0184,-0.0108,-0.0157,0.026
20:57:02:586,-0.0057,-0.0041,-0.0341,0.035
20:57:02:592,0.0012,0.0002,-0.0239,0.024
20:57:02:595,0.0010,0.0021,0.0003,0.002
20:57:02:600,0.0151,0.0160,-0.0090,0.024
20:57:02:605,0.0148,-0.0034,0.0198,0.025
20:57:02:610,0.0169,-0.0084,0.0364,0.041
20:57:02:617,0.0142,-0.0158,0.0410,0.046
20:57:02:621,0.0139,-0.0255,0.0669,0.073
20:57:02:625,0.0159,-0.0092,0.0738,0.076
20:57:02:630,-0.0081,-0.0238,0.0427,0.050
20:57:02:635,0.0060,-0.0288,0.0214,0.036
20:57:02:640,0.0154,-0.0265,-0.0139,0.034
20:57:02:645,0.0177,-0.0052,-0.0252,0.031
20:57:02:649,0.0033,-0.0031,-0.0293,0.030
20:57:02:655,0.0152,0.0014,-0.0286,0.032
20:57:02:658,0.0103,0.0107,0.0028,0.015
20:57:02:666,0.0126,0.0009,0.0149,0.020
20:57:02:671,0.0077,0.0055,0.0174,0.020
20:57:02:674,0.0289,0.0005,0.0246,0.038
20:57:02:679,0.0381,0.0097,0.0222,0.045
20:57:02:686,0.0260,0.0141,0.0224,0.037
20:57:02:689,0.0187,-0.0099,-0.0011,0.021
20:57:02:693,-0.0004,-0.0053,-0.0077,0.009
20:57:02:697,-0.0240,-0.0102,0.0190,0.032
20:57:02:704,-0.0071,-0.0104,0.0193,0.023
20:57:02:708,-0.0047,0.0013,0.0078,0.009
20:57:02:713,-0.0118,-0.0252,0.0058,0.028
20:57:02:718,-0.0213,-0.0087,0.0110,0.025
20:57:02:723,-0.0165,-0.0304,0.0231,0.042
20:57:02:728,-0.0142,-0.0212,0.0020,0.026
20:57:02:733,0.0024,-0.0215,0.0000,0.022
20:57:02:737,-0.0025,-0.0312,-0.0162,0.035
20:57:02:743,0.0139,-0.0480,-0.0086,0.051
20:57:02:748,0.0065,-0.0694,-0.0318,0.077
20:57:02:752,0.0206,-0.0597,-0.0312,0.070
20:57:02:757,0.0155,-0.0548,-0.0259,0.063
20:57:02:762,0.0082,-0.0476,0.0103,0.049
20:57:02:770,0.0248,-0.0451,0.0440,0.068
20:57:02:772,0.0365,-0.0260,0.0752,0.088
20:57:02:783,0.0246,-0.0000,0.1111,0.114
20:57:02:784,-0.0204,0.0259,0.0968,0.102
20:57:02:787,-0.0435,0.0731,0.0969,0.129
20:57:02:792,-0.1068,0.0749,0.0660,0.146
20:57:02:796,-0.1246,0.0529,0.0447,0.143
20:57:02:802,-0.1138,0.0406,0.0376,0.127
20:57:02:806,-0.0771,0.0094,0.0470,0.091
20:57:02:811,-0.0431,0.0046,0.0490,0.065
20:57:02:817,-0.0308,-0.0001,0.0438,0.054
20:57:02:821,-0.0305,0.0143,0.0433,0.055
20:57:02:826,-0.0302,0.0190,0.0355,0.050
20:57:02:831,-0.0418,0.0143,0.0040,0.044
20:57:02:835,-0.0154,0.0024,-0.0154,0.022
20:57:02:840,-0.0057,0.0074,-0.0325,0.034
20:57:02:845,-0.0200,-0.0019,-0.0423,0.047
20:57:02:851,-0.0175,-0.0041,-0.0473,0.051
20:57:02:855,0.0087,0.0223,-0.0499,0.055
20:57:02:860,0.0039,0.0058,-0.0477,0.048
20:57:02:865,0.0348,-0.0034,-0.0432,0.056
20:57:02:870,0.0606,0.0111,-0.0316,0.069
20:57:02:875,0.0721,0.0043,-0.0344,0.080
20:57:02:887,0.0644,-0.0214,-0.0609,0.091
20:57:02:888,0.0830,0.0125,-0.0471,0.096
20:57:02:889,0.1061,-0.0132,-0.0430,0.115
20:57:02:894,0.0982,-0.0267,-0.0389,0.109
20:57:02:898,0.0999,-0.0567,-0.0205,0.117
20:57:02:904,0.0922,-0.0887,-0.0069,0.128
20:57:02:909,0.0847,-0.1087,-0.0100,0.138
20:57:02:917,0.0653,-0.1213,-0.0344,0.142
20:57:02:920,0.0650,-0.0959,-0.0634,0.132
20:57:02:925,0.0766,-0.0682,-0.0782,0.129
20:57:02:928,0.0595,-0.0360,-0.1072,0.128
20:57:02:935,0.0829,-0.0349,-0.0839,0.123
20:57:02:939,0.0991,-0.0099,-0.0751,0.125
20:57:02:943,0.1247,0.0077,-0.0781,0.147
20:57:02:950,0.1169,0.0181,-0.0858,0.146
20:57:02:952,0.1448,0.0166,-0.0957,0.174
20:57:02:961,0.1490,0.0153,-0.0698,0.165
20:57:02:962,0.1866,0.0260,-0.0725,0.202
20:57:02:968,0.2361,0.0559,-0.0678,0.252
20:57:02:973,0.2714,0.0526,-0.0724,0.286
20:57:02:977,0.2426,0.0782,-0.1172,0.281
20:57:02:982,0.1050,0.0064,-0.1475,0.181
20:57:02:991,0.0517,-0.0101,-0.1136,0.125
20:57:02:992,0.1130,0.0329,-0.0392,0.124
20:57:02:997,0.0648,0.0568,-0.0413,0.096
20:57:03:002,0.0195,0.0284,-0.0267,0.044
20:57:03:006,-0.0134,0.0358,0.0236,0.045
20:57:03:011,0.0801,0.0504,0.0550,0.109
20:57:03:016,0.0709,0.0271,0.0316,0.082
20:57:03:020,0.0642,0.0087,0.0204,0.068
20:57:03:028,0.0862,-0.0023,0.0378,0.094
20:57:03:030,0.1627,-0.0321,0.0220,0.167
20:57:03:037,0.1866,-0.0543,0.0016,0.194
20:57:03:044,0.2130,-0.0571,-0.0114,0.221
20:57:03:047,0.2655,-0.0952,-0.0195,0.283
20:57:03:051,0.2702,-0.1375,-0.0276,0.304
20:57:03:056,0.2559,-0.1772,-0.0570,0.316
20:57:03:059,0.2629,-0.2071,-0.0576,0.340
20:57:03:066,0.3412,-0.1775,-0.0154,0.385
20:57:03:079,0.3193,-0.1266,0.0007,0.344
20:57:03:080,0.3193,-0.1236,0.0455,0.345
20:57:03:080,0.3315,-0.1015,0.0620,0.352
20:57:03:085,0.2752,-0.0438,0.0909,0.293
20:57:03:097,0.2696,-0.0149,0.0964,0.287
20:57:03:098,0.2621,0.0518,0.0882,0.281
20:57:03:099,0.2027,0.0992,0.0471,0.231
20:57:03:105,0.1559,0.1321,0.0184,0.205
20:57:03:109,0.1739,0.1982,-0.0097,0.264
20:57:03:115,0.2998,0.1814,0.1774,0.393
20:57:03:119,0.2880,0.2862,0.0864,0.415
20:57:03:125,0.2409,0.2956,-0.0916,0.392
20:57:03:129,0.0919,0.3475,-0.2165,0.420
20:57:03:134,-0.0019,0.3491,-0.2654,0.439
20:57:03:138,-0.0410,0.3481,-0.2555,0.434
20:57:03:145,-0.1280,0.2707,-0.2132,0.368
20:57:03:149,-0.2009,0.2028,-0.1721,0.333
20:57:03:155,-0.2383,0.1943,-0.0939,0.322
20:57:03:159,-0.2617,0.1712,-0.0118,0.313
20:57:03:164,-0.2401,0.1572,0.0842,0.299
20:57:03:168,-0.2236,0.1598,0.1465,0.311
20:57:03:174,-0.1547,0.1456,0.1328,0.251
20:57:03:177,-0.0196,0.1603,0.1698,0.234
20:57:03:193,0.1794,0.2038,0.1622,0.316
20:57:03:194,0.2612,0.1813,0.0697,0.326
20:57:03:194,0.2933,0.1480,-0.0032,0.329
20:57:03:199,0.3256,0.1181,-0.0376,0.348
20:57:03:203,0.2728,0.0512,-0.0483,0.282
20:57:03:207,0.2235,0.0307,0.0434,0.230
20:57:03:213,0.2899,-0.0029,0.3136,0.427
20:57:03:216,0.1742,0.0594,0.2696,0.326
20:57:03:222,0.1432,0.0220,0.2363,0.277
20:57:03:228,0.1583,-0.0074,0.2398,0.287
20:57:03:231,0.1215,-0.0553,0.1793,0.224
20:57:03:238,0.0638,-0.1215,0.1789,0.225
20:57:03:241,-0.0481,-0.1254,0.1521,0.203
20:57:03:247,-0.1355,-0.1720,0.2156,0.307
20:57:03:251,-0.3318,-0.2067,0.2592,0.469
20:57:03:256,-0.4466,-0.2369,0.2757,0.576
20:57:03:260,-0.4660,-0.2435,0.3203,0.616
20:57:03:266,-0.4096,-0.2385,0.3860,0.611
20:57:03:278,-0.3940,-0.2218,0.4277,0.622
20:57:03:279,-0.3001,-0.2216,0.4502,0.585
20:57:03:281,-0.3444,-0.2830,0.4276,0.618
20:57:03:286,-0.3574,-0.3439,0.4910,0.698
20:57:03:295,-0.3515,-0.3616,0.3544,0.616
20:57:03:296,-0.3319,-0.4125,0.2964,0.607
20:57:03:299,-0.3363,-0.4726,0.3622,0.684
20:57:03:305,-0.2912,-0.4447,0.3136,0.617
20:57:03:312,-0.2301,-0.4218,0.2627,0.548
20:57:03:315,-0.2601,-0.4777,0.1949,0.578
20:57:03:321,-0.4262,-0.5336,0.1335,0.696
20:57:03:325,-0.5970,-0.6139,0.1069,0.863
20:57:03:331,-0.7371,-0.6617,0.1293,0.999
20:57:03:337,-0.7847,-0.7058,0.2106,1.076
20:57:03:339,-0.8546,-0.6823,0.2174,1.115
20:57:03:344,-0.8872,-0.6961,0.1885,1.143
20:57:03:350,-0.8423,-0.6636,0.1621,1.084
20:57:03:355,-0.6156,-0.4732,0.0767,0.780
20:57:03:359,-0.2250,-0.2134,-0.0629,0.316
20:57:03:365,0.0511,-0.0147,-0.1636,0.172
20:57:03:369,0.1449,0.0666,-0.2233,0.274
20:57:03:375,0.1596,0.0929,-0.2115,0.281
20:57:03:378,0.1578,0.1095,-0.2257,0.296
20:57:03:387,0.1417,0.1545,-0.2375,0.317
20:57:03:388,0.1329,0.2253,-0.2349,0.352
20:57:03:393,0.1171,0.2696,-0.2445,0.382
20:57:03:398,0.0896,0.2756,-0.2494,0.382
20:57:03:403,0.1002,0.3149,-0.2334,0.405
20:57:03:408,0.0893,0.3349,-0.2010,0.401
20:57:03:415,0.1069,0.3525,-0.1906,0.415
20:57:03:416,0.0983,0.3629,-0.1376,0.400
20:57:03:421,0.0994,0.3615,-0.0850,0.384
20:57:03:431,0.0745,0.3484,-0.0542,0.360
20:57:03:432,0.0356,0.2998,-0.0545,0.307
20:57:03:439,0.0348,0.2420,-0.0574,0.251
20:57:03:441,0.0552,0.1823,-0.0533,0.198
20:57:03:449,0.0705,0.1158,-0.0615,0.149
20:57:03:451,0.1139,0.0900,-0.0555,0.155
20:57:03:457,0.1568,0.0642,-0.0569,0.179
20:57:03:462,0.2016,0.0315,-0.0395,0.208
20:57:03:467,0.2221,0.0344,-0.0221,0.226
20:57:03:478,0.2235,0.0421,-0.0141,0.228
20:57:03:479,0.2464,0.0282,-0.0227,0.249
20:57:03:481,0.2454,0.0406,-0.0191,0.249
20:57:03:487,0.2350,0.0530,-0.0486,0.246
20:57:03:496,0.2129,0.0606,-0.0684,0.232
20:57:03:496,0.1720,0.0801,-0.0715,0.203
20:57:03:499,0.0958,0.1041,-0.0746,0.160
20:57:03:505,0.0319,0.1040,-0.0660,0.127
20:57:03:513,-0.0054,0.1134,-0.0576,0.127
20:57:03:516,-0.0306,0.1463,-0.0541,0.159
20:57:03:520,-0.0059,0.1766,-0.0413,0.181
20:57:03:525,0.0067,0.1899,-0.0261,0.192
20:57:03:532,0.0144,0.1937,-0.0254,0.196
20:57:03:535,0.0435,0.2070,-0.0107,0.212
20:57:03:540,0.0747,0.1846,0.0134,0.200
20:57:03:545,0.0605,0.1862,0.0490,0.202
20:57:03:550,0.0773,0.1261,0.0676,0.163
20:57:03:555,0.0654,0.0951,0.0786,0.140
20:57:03:560,0.0463,0.0335,0.0961,0.112
20:57:03:568,0.0558,0.0081,0.1061,0.120
20:57:03:570,0.0579,-0.0361,0.1180,0.136
20:57:03:584,0.0741,-0.0587,0.1083,0.144
20:57:03:585,0.0688,-0.0835,0.1057,0.151
20:57:03:586,0.1157,-0.0630,0.0795,0.154
20:57:03:587,0.1291,-0.0521,0.0442,0.146
20:57:03:594,0.0998,-0.0246,0.0020,0.103
20:57:03:598,0.0590,0.0074,-0.0206,0.063
20:57:03:605,0.0209,-0.0035,-0.0524,0.057
20:57:03:609,-0.0145,0.0496,-0.0671,0.085
20:57:03:613,0.0098,0.0715,-0.0911,0.116
20:57:03:617,-0.0277,0.0908,-0.1265,0.158
20:57:03:623,-0.0267,0.1031,-0.1518,0.185
20:57:03:628,0.0482,0.1581,-0.1173,0.203
20:57:03:633,0.0205,0.1345,-0.1470,0.200
20:57:03:638,-0.0117,0.0612,-0.2074,0.217
20:57:03:643,-0.0439,0.0668,-0.2180,0.232
20:57:03:648,-0.0142,0.0796,-0.2193,0.234
20:57:03:653,0.0868,0.0974,-0.1468,0.196
20:57:03:657,0.1258,0.1604,-0.0411,0.208
20:57:03:661,0.0317,0.0830,-0.0809,0.120
20:57:03:668,-0.0714,0.0227,-0.1492,0.167
20:57:03:671,-0.0814,0.0433,-0.1533,0.179
20:57:03:679,-0.0510,0.1349,-0.1121,0.183
20:57:03:682,0.0911,0.2498,-0.0349,0.268
20:57:03:687,0.0688,0.2168,-0.0505,0.233
20:57:03:692,-0.0579,0.1462,-0.1541,0.220
20:57:03:697,-0.1388,0.1187,-0.2052,0.275
20:57:03:701,-0.1744,0.1458,-0.2305,0.324
20:57:03:707,-0.1294,0.1726,-0.2136,0.304
20:57:03:711,-0.0801,0.1920,-0.1853,0.279
