time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:43:50:881,0.0318,0.0096,0.3742,0.376
20:43:50:884,0.0476,0.0129,0.0235,0.055
20:43:50:889,0.0469,0.0118,-0.1820,0.188
20:43:50:895,-0.0106,0.0086,-0.3007,0.301
20:43:50:899,-0.0296,0.0341,-0.3663,0.369
20:43:50:904,-0.0743,0.0170,-0.3437,0.352
20:43:50:909,-0.0996,-0.0021,-0.2739,0.291
20:43:50:913,-0.0963,0.0074,-0.1076,0.145
20:43:50:917,-0.0550,-0.0495,0.0239,0.078
20:43:50:924,-0.0331,-0.0467,0.1068,0.121
20:43:50:929,-0.0257,-0.0606,0.2150,0.225
20:43:50:933,-0.0397,-0.0863,0.2584,0.275
20:43:50:938,-0.0395,-0.0859,0.2541,0.271
20:43:50:943,-0.0536,-0.1070,0.2072,0.239
20:43:50:947,-0.0250,-0.1068,0.1345,0.174
20:43:50:953,-0.0038,-0.1019,0.0552,0.116
20:43:50:957,0.0267,-0.1255,-0.0116,0.129
20:43:50:962,0.0640,-0.1157,-0.0707,0.150
20:43:50:967,0.0750,-0.1059,-0.1150,0.173
20:43:50:971,0.1097,-0.1199,-0.1589,0.227
20:43:50:977,0.1559,-0.0934,-0.1834,0.258
20:43:50:982,0.1474,-0.0836,-0.2053,0.266
20:43:50:986,0.1650,-0.0691,-0.1866,0.258
20:43:50:992,0.1495,-0.0380,-0.1723,0.231
20:43:50:995,0.1415,-0.0071,-0.1125,0.181
20:43:51:000,0.1598,0.0023,-0.0524,0.168
20:43:51:007,0.1427,0.0046,0.0245,0.145
20:43:51:012,0.1094,0.0021,0.0827,0.137
20:43:51:016,0.1121,-0.0122,0.0936,0.147
20:43:51:022,0.0747,-0.0359,0.1097,0.138
20:43:51:026,0.0304,-0.0690,0.1070,0.131
20:43:51:032,0.0434,-0.0616,0.1021,0.127
20:43:51:035,0.0444,-0.0900,0.0949,0.138
20:43:51:042,0.0310,-0.1087,0.0780,0.137
20:43:51:046,0.0319,-0.1320,0.0611,0.149
20:43:51:051,0.0565,-0.1101,0.0608,0.138
20:43:51:056,0.0737,-0.1262,0.0626,0.159
20:43:51:063,0.0599,-0.1399,0.0572,0.163
20:43:51:065,0.0628,-0.1652,0.0424,0.182
20:43:51:071,0.0610,-0.1997,0.0132,0.209
20:43:51:074,0.0806,-0.2291,0.0270,0.244
